"season","place","acronym","team","points","played","won","draw","loss","goals_for","goals_against","goals_diff","rating","avg_goals_for_match","avg_goals_against_match","relegation"
2018,16,"VAS","Vasco",43,38,10,13,15,41,48,-7,0.377,1.079,1.263,false
2018,17,"SPO","Sport",42,38,11,9,18,35,57,-22,0.368,0.921,1.5,true
2018,18,"AMG","America-MG",40,38,10,10,18,30,47,-17,0.351,0.789,1.237,true
2018,19,"VIT","Vitoria",37,38,9,10,19,36,63,-27,0.325,0.947,1.658,true
2018,20,"PAR","Parana",23,38,4,11,23,18,57,-39,0.202,0.474,1.5,true
2019,1,"FLA","Flamengo",90,38,28,6,4,86,37,49,0.789,2.263,0.974,false
2019,2,"SAN","Santos",74,38,22,8,8,60,33,27,0.649,1.579,0.868,false
2019,3,"PAL","Palmeiras",74,38,21,11,6,61,32,29,0.649,1.605,0.842,false
2019,4,"GRE","Gremio",65,38,19,8,11,64,39,25,0.57,1.684,1.026,false
2019,5,"CAP","Athletico-PR",64,38,18,10,10,51,32,19,0.561,1.342,0.842,false
2019,6,"SAO","SaoPaulo",63,38,17,12,9,39,30,9,0.553,1.026,0.789,false
2019,7,"INT","Internacional",57,38,16,9,13,44,39,5,0.5,1.158,1.026,false
2019,8,"COR","Corinthians",56,38,14,14,10,42,34,8,0.491,1.105,0.895,false
2019,9,"FOR","Fortaleza",53,38,15,8,15,50,49,1,0.465,1.316,1.289,false
2019,10,"GOI","Goias",52,38,15,7,16,46,64,-18,0.456,1.211,1.684,false
2019,11,"ECB","Bahia",49,38,12,13,13,44,42,2,0.43,1.158,1.105,false
2019,12,"VAS","Vasco",49,38,12,13,13,39,45,-6,0.43,1.026,1.184,false
2019,13,"CAM","Atletico-MG",48,38,13,9,16,45,49,-4,0.421,1.184,1.289,false
2019,14,"FLU","Fluminense",46,38,12,10,16,37,46,-9,0.404,0.974,1.211,false
2019,15,"BOT","Botafogo",43,38,13,4,21,31,45,-14,0.377,0.816,1.184,false
2019,16,"CEA","Ceara",39,38,10,9,19,36,41,-5,0.342,0.947,1.079,false
2019,17,"CRU","Cruzeiro",36,38,7,15,16,27,46,-19,0.316,0.711,1.211,true
2019,18,"CSA","CSA",32,38,8,8,22,22,57,-35,0.281,0.579,1.5,true
2019,19,"CHA","Chapecoense",32,38,7,11,20,31,52,-21,0.281,0.816,1.368,true
2019,20,"AVA","Avai",20,38,3,11,24,17,60,-43,0.175,0.447,1.579,true
2020,1,"FLA","Flamengo",71,38,21,8,9,68,48,20,0.623,1.789,1.263,false
2020,2,"INT","Internacional",70,38,20,10,8,61,35,26,0.614,1.605,0.921,false
2020,3,"CAM","Atletico-MG",68,38,20,8,10,64,45,19,0.596,1.684,1.184,false
2020,4,"SAO","SaoPaulo",66,38,18,12,8,59,41,18,0.579,1.553,1.079,false
2020,5,"FLU","Fluminense",64,38,18,10,10,55,42,13,0.561,1.447,1.105,false
2020,6,"GRE","Gremio",59,38,14,17,7,53,40,13,0.518,1.395,1.053,false
2020,7,"PAL","Palmeiras",58,38,15,13,10,51,37,14,0.509,1.342,0.974,false
2020,8,"SAN","Santos",54,38,14,12,12,52,51,1,0.474,1.368,1.342,false
2020,9,"CAP","Athletico-PR",53,38,15,8,15,38,36,2,0.465,1,0.947,false
2020,10,"RBB","RBBragantino",53,38,13,14,11,50,40,10,0.465,1.316,1.053,false
2020,11,"CEA","Ceara",52,38,14,10,14,54,51,3,0.456,1.421,1.342,false
2020,12,"COR","Corinthians",51,38,13,12,13,45,45,0,0.447,1.184,1.184,false
2020,13,"ACG","Atletico-GO",50,38,12,14,12,40,45,-5,0.439,1.053,1.184,false
2020,14,"ECB","Bahia",44,38,12,8,18,48,59,-11,0.386,1.263,1.553,false
2020,15,"SPO","Sport",42,38,12,6,20,31,50,-19,0.368,0.816,1.316,false
2020,16,"FOR","Fortaleza",41,38,10,11,17,34,44,-10,0.36,0.895,1.158,false
2020,17,"VAS","Vasco",41,38,10,11,17,37,56,-19,0.36,0.974,1.474,true
2020,18,"GOI","Goias",37,38,9,10,19,41,63,-22,0.325,1.079,1.658,true
2020,19,"CFC","Coritiba",31,38,7,10,21,31,54,-23,0.272,0.816,1.421,true
2020,20,"BOT","Botafogo",27,38,5,12,21,32,62,-30,0.237,0.842,1.632,true
2021,1,"CAM","Atletico-MG",84,38,26,6,6,67,34,33,0.737,1.763,0.895,false
2021,2,"FLA","Flamengo",71,38,21,8,9,69,36,33,0.623,1.816,0.947,false
2021,3,"PAL","Palmeiras",66,38,20,6,12,58,43,15,0.579,1.526,1.132,false
2021,4,"FOR","Fortaleza",58,38,17,7,14,44,45,-1,0.509,1.158,1.184,false
2021,5,"COR","Corinthians",57,38,15,12,11,40,36,4,0.5,1.053,0.947,false
2021,6,"RBB","RBBragantino",56,38,14,14,10,55,46,9,0.491,1.447,1.211,false
2021,7,"FLU","Fluminense",54,38,15,9,14,38,38,0,0.474,1,1,false
2021,8,"AMG","America-MG",53,38,13,14,11,41,37,4,0.465,1.079,0.974,false
2021,9,"ACG","Atletico-GO",53,38,13,14,11,33,36,-3,0.465,0.868,0.947,false
2021,10,"SAN","Santos",50,38,12,14,12,35,40,-5,0.439,0.921,1.053,false
2021,11,"CEA","Ceara",50,38,11,17,10,39,38,1,0.439,1.026,1,false
2021,12,"INT","Internacional",48,38,12,12,14,44,42,2,0.421,1.158,1.105,false
2021,13,"SAO","SaoPaulo",48,38,11,15,12,31,39,-8,0.421,0.816,1.026,false
2021,14,"CAP","Athletico-PR",47,38,13,8,17,41,45,-4,0.412,1.079,1.184,false
2021,15,"CUI","Cuiaba",47,38,10,17,11,34,37,-3,0.412,0.895,0.974,false
2021,16,"JUV","Juventude",46,38,11,13,14,36,44,-8,0.404,0.947,1.158,false
2021,17,"GRE","Gremio",43,38,12,7,19,44,51,-7,0.377,1.158,1.342,true
2021,18,"ECB","Bahia",43,38,11,10,17,42,51,-9,0.377,1.105,1.342,true
2021,19,"SPO","Sport",38,38,9,11,18,24,37,-13,0.333,0.632,0.974,true
2021,20,"CHA","Chapecoense",15,38,1,12,25,27,67,-40,0.132,0.711,1.763,true
2022,1,"PAL","Palmeiras",81,38,23,12,3,66,27,39,0.711,1.737,0.711,false
2022,2,"INT","Internacional",73,38,20,13,5,58,31,27,0.64,1.526,0.816,false
2022,3,"FLU","Fluminense",70,38,21,7,10,63,41,22,0.614,1.658,1.079,false
2022,4,"COR","Corinthians",65,38,18,11,9,44,36,8,0.57,1.158,0.947,false
2022,5,"FLA","Flamengo",62,38,18,8,12,60,39,21,0.544,1.579,1.026,false
2022,6,"CAP","Athletico-PR",58,38,16,10,12,48,48,0,0.509,1.263,1.263,false
2022,7,"CAM","Atletico-MG",58,38,15,13,10,45,37,8,0.509,1.184,0.974,false
2022,8,"FOR","Fortaleza",55,38,15,10,13,46,39,7,0.482,1.211,1.026,false
2022,9,"SAO","SaoPaulo",54,38,13,15,10,55,42,13,0.474,1.447,1.105,false
2022,10,"AMG","America-MG",53,38,15,8,15,40,40,0,0.465,1.053,1.053,false
2022,11,"BOT","Botafogo",53,38,15,8,15,41,43,-2,0.465,1.079,1.132,false
2022,12,"SAN","Santos",47,38,12,11,15,44,41,3,0.412,1.158,1.079,false
2022,13,"GOI","Goias",46,38,11,13,14,40,53,-13,0.404,1.053,1.395,false
2022,14,"RBB","RBBragantino",44,38,11,11,16,49,59,-10,0.386,1.289,1.553,false
2022,15,"CFC","Coritiba",42,38,12,6,20,39,60,-21,0.368,1.026,1.579,false
2022,16,"CUI","Cuiaba",41,38,10,11,17,31,42,-11,0.36,0.816,1.105,false
2022,17,"CEA","Ceara",37,38,7,16,15,34,41,-7,0.325,0.895,1.079,true
2022,18,"ACG","Atletico-GO",36,38,8,12,18,39,57,-18,0.316,1.026,1.5,true
2022,19,"AVA","Avai",35,38,9,8,21,34,60,-26,0.307,0.895,1.579,true
2022,20,"JUV","Juventude",22,38,3,13,22,29,69,-40,0.193,0.763,1.816,true
2023,1,"PAL","Palmeiras",70,38,20,10,8,64,33,31,0.614,1.684,0.868,false
2023,2,"GRE","Gremio",68,38,21,5,12,63,56,7,0.596,1.658,1.474,false
2023,3,"CAM","Atletico-MG",66,38,19,9,10,52,32,20,0.579,1.368,0.842,false
2023,4,"FLA","Flamengo",66,38,19,9,10,56,42,14,0.579,1.474,1.105,false
2023,5,"BOT","Botafogo",64,38,18,10,10,58,37,21,0.561,1.526,0.974,false
2023,6,"RBB","RBBragantino",62,38,17,11,10,49,35,14,0.544,1.289,0.921,false
2023,7,"FLU","Fluminense",56,38,16,8,14,51,47,4,0.491,1.342,1.237,false
2023,8,"CAP","Athletico-PR",56,38,14,14,10,51,43,8,0.491,1.342,1.132,false
2023,9,"INT","Internacional",55,38,15,10,13,46,45,1,0.482,1.211,1.184,false
2023,10,"FOR","Fortaleza",54,38,15,9,14,45,44,1,0.474,1.184,1.158,false
2023,12,"CUI","Cuiaba",51,38,14,9,15,40,39,1,0.447,1.053,1.026,false
2023,13,"COR","Corinthians",50,38,12,14,12,47,48,-1,0.439,1.237,1.263,false
2023,14,"CRU","Cruzeiro",47,38,11,14,13,35,32,3,0.412,0.921,0.842,false
2023,15,"VAS","Vasco",45,38,12,9,17,41,51,-10,0.395,1.079,1.342,false
2023,16,"ECB","Bahia",44,38,12,8,18,50,53,-3,0.386,1.316,1.395,false
2023,17,"SAN","Santos",43,38,11,10,17,39,64,-25,0.377,1.026,1.684,true
2023,18,"GOI","Goias",38,38,9,11,18,36,53,-17,0.333,0.947,1.395,true
2023,19,"CFC","Coritiba",30,38,8,6,24,41,73,-32,0.263,1.079,1.921,true
2023,20,"AMG","America-MG",24,38,5,9,24,42,81,-39,0.211,1.105,2.132,true
